City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,albany,42.6001,-73.9662,23.78,91,48,0.45,US,1689426244
83,tsiombe,-25.3,45.4833,22.91,49,0,6.42,MG,1689426409
84,iqaluit,63.7506,-68.5145,8.72,93,29,0.89,CA,1689426409
85,constantia,44.1833,28.65,30.39,56,4,5.24,RO,1689426368
86,freetown,8.484,-13.2299,27.36,75,74,2.71,SL,1689426410
87,kavaratti,10.5669,72.642,28.03,82,100,7.09,IN,1689426410
88,anadyr,64.75,177.4833,8.28,93,40,2.0,RU,1689426410
89,shortandy,51.7006,70.9994,15.7,76,100,6.84,KZ,1689426411
90,dunedin,-45.8742,170.5036,12.67,61,100,0.89,NZ,1689426099
91,mount horeb,43.0086,-89.7385,20.39,97,2,0.45,US,1689426411
92,east ballina,-28.8667,153.5833,12.11,73,0,4.57,AU,1689426411
93,hawaiian paradise park,19.5933,-154.9731,21.13,97,0,3.9,US,1689426141
94,tiksi,71.6872,128.8694,5.3,70,24,2.33,RU,1689426412
95,sitka,57.0531,-135.33,12.94,94,100,0.0,US,1689426412
96,namibe,-15.1961,12.1522,25.4,41,0,6.59,AO,1689426412
97,murghob,38.1702,73.9667,20.07,14,57,3.47,TJ,1689426412
98,sao jose da coroa grande,-8.8978,-35.1478,26.98,74,15,3.8,BR,1689426413
99,margaret river,-33.95,115.0667,12.7,71,0,5.69,AU,1689426413
100,kozhevnikovo,56.2589,83.9714,18.43,85,89,6.41,RU,1689426413
101,askoy,60.4092,5.226,18.35,46,100,3.6,NO,1689426413
102,sarankhola,22.3082,89.7897,27.06,88,70,3.69,BD,1689426413
103,enewetak,11.3474,162.3373,28.23,77,91,7.15,MH,1689426414
104,midland,31.9974,-102.0779,28.37,55,0,5.14,US,1689426414
105,vadso,70.0744,29.7487,18.49,72,75,1.54,NO,1689426414
106,kande,9.9578,1.0447,33.39,49,82,1.5,TG,1689426414
107,lebu,-37.6167,-73.65,7.29,79,64,2.57,CL,1689426415
108,olonkinbyen,70.9221,-8.7187,4.63,97,100,7.14,SJ,1689426415
109,tura,25.5198,90.2201,24.82,94,98,2.44,IN,1689426411
110,conduaga,8.862,117.4893,26.46,89,100,4.6,PH,1689426415
111,sucre,-19.0333,-65.2627,13.3,13,100,1.17,BO,1689426416
112,yeppoon,-23.1333,150.7333,16.88,77,41,5.18,AU,1689426223
113,invercargill,-46.4,168.35,9.92,73,100,4.68,NZ,1689426141
114,nova vicosa,-17.8919,-39.3719,22.44,72,100,6.59,BR,1689426331
115,karakecili,39.5942,33.3778,32.06,20,0,6.03,TR,1689426416
116,college,64.8569,-147.8028,13.66,91,100,1.54,US,1689426416
117,simpang,-1.2667,104.0833,24.14,94,100,0.88,ID,1689426070
118,usogorsk,63.4106,48.6872,25.04,35,84,1.66,RU,1689426417
119,lerwick,60.1545,-1.1494,15.0,98,100,9.89,GB,1689426121
120,lubuklinggau,-3.3,102.8667,23.1,98,93,1.19,ID,1689426417
121,hastings,50.8552,0.5729,21.0,25,7,12.6,GB,1689426417
122,palikir - national government center,6.9248,158.1611,28.41,74,75,4.63,FM,1689426418
123,hede,33.7681,120.2517,24.98,84,100,2.3,CN,1689426322
124,tarawa,1.419,172.984,28.05,83,75,1.03,KI,1689426418
125,tazovsky,67.4667,78.7,12.0,62,100,5.68,RU,1689426418
126,selfoss,63.9331,-20.9971,14.47,61,77,4.26,IS,1689426418
127,alo,7.4178,6.7371,31.76,64,87,0.77,NG,1689426419
128,santa rosalia,27.3167,-112.2833,28.86,50,61,0.36,MX,1689426419
129,belmonte,-15.8631,-38.8828,24.19,83,22,4.27,BR,1689426150
130,enterprise,36.0252,-115.2419,31.51,17,0,3.6,US,1689426419
131,fort st. john,56.2499,-120.8529,12.72,90,100,0.94,CA,1689426419
132,uturoa,-16.7333,-151.4333,25.98,70,5,5.61,PF,1689426420
133,diego de almagro,-26.3667,-70.05,17.67,16,0,0.57,CL,1689426420
134,ikang,4.7898,8.5316,29.74,73,42,2.83,NG,1689426420
135,kodinar,20.7903,70.7031,28.41,79,100,6.67,IN,1689426420
136,nelson bay,-32.7167,152.15,15.0,67,5,2.68,AU,1689426421
137,upata,8.0086,-62.3989,26.22,71,41,3.15,VE,1689426348
138,zheleznodorozhnyy,55.7503,38.0042,18.75,68,100,5.25,RU,1689426421
139,talnakh,69.4865,88.3972,10.67,76,100,4.72,RU,1689426147
140,gokwe,-18.2048,28.9349,21.05,27,0,2.29,ZW,1689426421
141,bilibino,68.0546,166.4372,17.44,65,1,0.92,RU,1689426422
142,thinadhoo,0.5333,72.9333,28.22,72,6,0.44,MV,1689426422
143,ulanhot,46.0833,122.0833,17.47,90,100,7.58,CN,1689426422
144,howrah,22.5892,88.3103,27.0,94,75,1.54,IN,1689426422
145,brak,27.5496,14.2714,38.27,9,0,4.54,LY,1689426423
146,tazacorte,28.629,-17.9293,26.54,79,40,7.72,ES,1689426180
147,ilha de mocambique,-15.0342,40.7358,24.79,68,1,7.58,MZ,1689426425
148,avarua,-21.2078,-159.775,23.03,100,75,0.51,CK,1689426153
149,saurimo,-9.6608,20.3916,32.7,13,68,2.41,AO,1689426426
150,manzhouli,49.6,117.4333,20.08,47,0,0.95,CN,1689426426
151,mariehamn,60.0973,19.9348,20.92,64,0,5.66,AX,1689426426
152,ormara,25.2088,64.6357,28.49,80,28,9.3,PK,1689426375
153,kenora,49.8167,-94.4337,12.1,87,100,2.24,CA,1689426427
154,bulayevo,54.9056,70.4439,18.91,62,100,3.9,KZ,1689426427
155,punta arenas,-53.15,-70.9167,1.06,75,75,8.23,CL,1689426427
156,san patricio,28.017,-97.5169,28.92,84,32,5.7,US,1689426428
157,atafu village,-8.5421,-172.5159,28.04,75,98,4.78,TK,1689426428
158,ifrane,33.3333,-5.25,28.95,23,14,4.5,MA,1689426428
159,portland,45.5234,-122.6762,18.92,76,10,1.79,US,1689426010
160,aginskoye,51.1,114.53,20.5,51,0,1.25,RU,1689426429
161,mount gambier,-37.8333,140.7667,6.57,82,13,1.89,AU,1689426166
162,saint-pierre,-21.3393,55.4781,24.76,88,100,10.8,RE,1689426429
163,vorgashor,67.5833,63.95,19.42,42,62,6.08,RU,1689426151
164,puerto baquerizo moreno,-0.9,-89.6,24.79,81,9,5.75,EC,1689426430
165,nuuk,64.1835,-51.7216,8.34,93,75,2.06,GL,1689426430
166,bengkulu,-3.8004,102.2655,25.39,80,98,1.0,ID,1689426430
167,kununurra,-15.7667,128.7333,19.99,77,3,2.06,AU,1689426431
168,nicoya,10.1483,-85.452,25.3,86,96,1.37,CR,1689426431
169,coquimbo,-29.9533,-71.3436,10.85,100,100,1.03,CL,1689426144
170,magdagachi,53.45,125.8,20.42,55,100,2.08,RU,1689426431
171,elk city,35.412,-99.4043,22.12,100,100,2.57,US,1689426431
172,parvatipuram,18.7833,83.4333,26.66,88,100,1.56,IN,1689426432
173,webster city,42.4694,-93.816,19.28,100,0,2.06,US,1689426410
174,sinabang,2.4803,96.3801,27.01,75,85,1.23,ID,1689426432
175,necochea,-38.5473,-58.7368,6.49,79,0,6.39,AR,1689426137
176,ampanihy,-24.7,44.75,25.47,32,0,4.38,MG,1689426432
177,hillsdale,41.0026,-74.0404,27.45,84,100,0.0,US,1689426433
178,shunyi,40.125,116.6453,29.97,37,0,5.0,CN,1689426433
179,nadym,65.5333,72.5167,21.05,41,13,5.75,RU,1689426433
180,carutapera,-1.195,-46.02,28.59,68,62,4.6,BR,1689426433
181,krasnyy chikoy,50.3643,108.7512,20.28,66,45,0.63,RU,1689426434
182,okha,53.5739,142.9478,11.7,81,4,3.1,RU,1689426434
183,saint-joseph,-21.3667,55.6167,24.15,86,96,8.19,RE,1689426434
184,pathein,16.7833,94.7333,26.35,88,100,2.23,MM,1689426434
185,port lincoln,-34.7333,135.8667,10.44,68,12,3.41,AU,1689426435
186,namdrik,5.5994,168.1028,28.42,77,95,5.94,MH,1689426435
187,hermanus,-34.4187,19.2345,18.22,63,100,9.08,ZA,1689426435
188,tromso,69.6496,18.957,15.21,72,75,2.06,NO,1689426435
189,kapuskasing,49.4169,-82.4331,17.12,93,100,2.5,CA,1689426435
190,masaka,-0.3338,31.7341,26.31,41,11,6.13,UG,1689426436
191,sola,-13.8833,167.55,25.17,78,100,12.75,VU,1689426436
192,afaahiti,-17.75,-149.2833,19.93,72,29,5.23,PF,1689426436
193,ishigaki,24.3448,124.1572,29.24,80,71,9.14,JP,1689426436
194,kirkuk,35.4681,44.3922,43.93,6,0,4.85,IQ,1689426437
195,crane,31.3974,-102.3501,26.23,58,26,7.34,US,1689426437
196,mata-utu,-13.2816,-176.1745,27.46,80,24,8.72,WF,1689426437
197,marsa alam,25.0757,34.8918,34.68,43,100,3.43,EG,1689426437
198,port elizabeth,-33.918,25.5701,21.72,57,0,5.47,ZA,1689426438
199,melegnano,45.3588,9.324,32.32,54,20,2.06,IT,1689426438
200,skhirate,33.8498,-7.0404,29.06,80,40,3.58,MA,1689426308
201,yaren,-0.5472,166.916,28.52,76,100,3.7,NR,1689426193
202,lewistown,40.5992,-77.5714,23.97,100,100,0.0,US,1689426439
203,buala,-8.145,159.5921,25.25,88,100,0.98,SB,1689426439
204,mankachar,25.5333,89.8667,28.42,83,83,4.8,IN,1689426439
205,flin flon,54.7682,-101.865,10.29,91,100,5.91,CA,1689426439
206,papatowai,-46.5619,169.4708,9.16,79,100,3.6,NZ,1689426143
207,mitsamiouli,-11.3847,43.2844,25.6,72,45,4.48,KM,1689426440
208,egilsstadir,65.2653,-14.3948,9.95,66,75,1.03,IS,1689426319
209,lishui,28.4604,119.9103,28.41,81,23,1.7,CN,1689426441
210,east london,-33.0153,27.9116,24.89,32,2,4.63,ZA,1689426441
211,nyurba,63.2842,118.3319,6.34,93,84,2.44,RU,1689426441
212,raja,8.4596,25.678,29.86,51,100,1.83,SS,1689426441
213,rongelap,11.1635,166.8941,28.3,80,100,7.3,MH,1689426204
214,gamawa,12.1343,10.5396,36.96,29,75,3.61,NG,1689426442
215,longboat key,27.4125,-82.659,31.72,57,0,1.54,US,1689426347
216,tolanaro,-25.0319,46.9987,21.82,57,56,6.23,MG,1689426442
217,tenno,39.9,139.9667,23.56,95,100,6.44,JP,1689426443
218,nemuro,43.3236,145.575,14.42,98,100,4.47,JP,1689426443
219,newman,37.3138,-121.0208,21.27,53,0,0.45,US,1689426443
220,mo i rana,66.3128,14.1428,17.26,68,40,1.03,NO,1689426382
221,gobabis,-22.45,18.9667,22.81,18,0,5.16,NA,1689426443
222,tarauaca,-8.1614,-70.7656,23.28,67,26,1.72,BR,1689426444
